tconst	averageRating	numVotes
tt10534500	8.7	17348
tt10541670	8.5	10
tt10544020	6.9	87
tt10544234	6.8	6
tt10562626	8.7	698
tt10562632	9.1	668
tt10563566	7.6	15
tt10578800	8.4	75
tt1060733	6.8	193
tt10608732	8.0	82
tt1060983	6.0	13
tt10626490	8.4	30
tt1064261	8.3	170
tt10653784	5.4	15286
tt1065772	5.6	18
tt1067040	7.5	36
tt1067573	9.1	19
tt10676276	7.7	42
tt1068338	7.9	19
tt1068340	7.5	22
tt10691922	6.3	116
tt10699594	7.7	142
tt10702116	7.1	183
tt1070879	7.2	167
tt1072268	6.2	8
tt10738936	8.0	6
tt1074384	7.5	8
tt1075333	5.8	62
tt10763570	6.4	80
tt10766764	7.3	18
tt10766766	7.4	17
tt10766934	7.7	33
tt1076804	7.1	18
tt1079067	7.4	329
tt10801368	7.5	9119
tt10825348	7.9	25
tt10833600	4.9	14
tt1083970	8.1	58
tt10840740	7.8	23
tt10845342	8.6	31
tt10869008	5.8	6
tt1087646	6.0	47
tt10879376	8.4	64
tt1088752	9.2	7
tt10896728	7.1	389
tt10902966	9.0	10
tt10913350	7.9	66
tt10915618	7.5	46
tt10927206	6.1	24
tt1093143	6.7	31
tt1094229	8.4	21400
tt1094589	4.9	9
tt10947842	8.0	15
tt1095220	8.2	13
tt10964210	7.0	30
tt10986480	5.8	9
tt1099212	5.3	509285
tt11012648	7.9	281
tt1101575	8.1	63
tt11018076	6.8	56
tt11018496	7.4	239
tt1101936	7.6	14
tt11034364	7.0	9
tt11036232	6.6	21
tt1103946	7.7	17
tt1103987	7.9	55994
tt11053322	8.5	6
tt1105469	6.0	1343
tt1106847	5.9	60
tt1107763	6.0	12
tt11090598	7.8	20
tt1109624	7.3	148420
tt11111198	5.9	10
tt11111758	7.6	31
tt11122356	9.5	10
tt1112347	7.8	5
tt1112358	7.4	5
tt1113219	7.7	47
tt1114677	4.7	47508
tt11162638	5.4	304
tt11170028	7.1	30
tt11176154	8.3	12
tt1118265	7.3	15
tt11188728	7.4	25
tt11191142	8.2	872
tt11197444	6.9	3174
tt11205014	5.4	197
tt11217094	2.8	609
tt11217366	7.1	58
tt11245972	6.3	175508
tt1125506	9.4	6
tt1125856	4.7	1030
tt11277896	7.6	28
tt11281424	7.3	28
tt11291526	7.1	37
tt11294422	7.4	221
tt11305538	6.9	19
tt1130898	5.8	158
tt11316402	7.0	5
tt11347750	8.6	143
tt1136350	7.3	27
tt1138457	5.7	340
tt11389328	8.6	10
tt1139428	6.5	221
tt1141747	8.8	984
tt1142020	6.9	38
tt1142473	5.3	200
tt11427232	7.1	41
tt1142782	7.8	9
tt1143390	7.5	283
tt11460170	7.4	22
tt11460334	6.6	57
tt11492256	7.4	41
tt11497432	7.2	61
tt11534136	6.4	129
tt1153696	6.1	66
tt11563902	8.4	3274
tt1157629	5.4	10
tt11579002	6.0	27
tt1160042	7.2	42
tt11628390	7.8	608
tt11655566	6.9	41203
tt11658118	7.8	16
tt11710922	6.5	6
tt11714334	8.0	4654
tt11721634	9.1	9
tt1172587	5.5	2086
tt1173568	5.4	247
tt1174691	7.0	1468
tt11757468	6.4	25
tt11758638	7.2	5
tt1177852	7.7	16
tt11786644	7.8	16
tt1179817	4.9	21333
tt1181840	6.9	7829
tt11828502	6.8	86
tt1183338	6.4	37
tt11835500	6.5	532
tt1185834	5.9	77722
tt1186261	8.0	22
tt11869068	5.0	20
tt1189264	7.7	10
tt1190072	6.2	1621
tt1190130	6.8	122
tt1190537	5.6	408
tt1190689	7.9	30822
tt11909354	9.9	24
tt1191122	7.1	492
tt11940558	6.8	6
tt1195489	8.0	122
tt1195935	5.6	43947
tt1196708	7.2	65
tt12025604	7.4	42
tt1203040	8.0	4041
tt12038128	7.1	48
tt12068420	6.9	52
tt12074108	8.8	6
tt1208382	8.1	16
tt1208716	5.6	365
tt12094778	7.7	8
tt12115990	7.9	94
tt1214117	7.9	45
tt1215004	7.2	22
tt12151128	5.7	7
tt1216621	9.1	605
tt1217213	7.0	15361
tt1218339	8.5	8
tt12188568	9.0	29609
tt1218957	6.7	423
tt1218961	8.2	406
tt1219289	7.4	631472
tt1221194	7.5	24
tt1225901	6.2	46913
tt1226461	7.1	13
tt1226766	6.5	5531
tt12281106	6.9	79
tt12281148	6.5	63
tt12291590	6.8	34
tt12292572	7.7	78
tt12301534	7.4	29
tt12320992	6.1	18
tt1232255	9.2	36288
tt1232916	8.2	28
tt1235099	8.0	132079
tt1235315	6.8	12
tt1236429	5.5	1054
tt12367872	6.1	14
tt12370614	7.9	7
tt12386222	7.8	5
tt12398128	8.4	98
tt1241317	4.5	93603
tt1243395	8.1	397
tt12464248	8.8	8
tt12483492	5.3	95
tt1248490	6.0	6
tt1248719	7.7	521
tt1249294	5.1	2533
tt12545780	8.0	133
tt1254669	5.7	37
tt1256089	7.8	2291
tt1256161	7.6	263
tt1256300	8.9	1358
tt1256607	8.1	980
tt1256826	7.6	29
tt12573294	7.0	1794
tt1258227	7.2	5
tt12605302	8.2	175
tt1262402	5.4	248
tt12630454	6.2	30
tt12655488	6.5	360
tt1266020	8.6	304122
tt1267045	8.4	1161
tt12670550	7.5	37
tt12670584	6.8	34
tt12741164	3.7	6
tt1279971	6.4	21
tt1280471	7.1	24
