title,rating,ratingDescription,release year,user rating score,user rating size,title_normalized,is_top_1000,titleType,isAdult,runtimeMinutes,genres,averageRating,numVotes,seasonNumber,episodeNumber,actors_list,directors_names,writers_names,success_score
stranger things,tv-14,90,True,90.0,80,stranger things,False,tvseries,False,60,"drama,fantasy,horror",8.6,1456662,,,"millie bobby brown,finn wolfhard,gaten matarazzo,caleb mclaughlin,natalia dyer,charlie heaton,joe keery,noah schnapp,matt duffer,ross duffer","matt duffer,ross duffer,shawn levy,andrew stanton,uta briesewitz,nimród antal,frank darabont,rebecca thomas","matt duffer,ross duffer,paul dichter,kate trefry,jessie nickson-lopez,caitlin schneiderhan,justin doble,curtis gwinn,jessica mecklenburg,alison tatlock,william bridges",122.048265346647
ingobernable,tv-ma,110,True,96.0,80,ingobernable,False,tvseries,False,40,"crime,drama,mystery",7.0,3584,,,"leah allers,eréndira ibarra,alicia jaziz,maxi iglesias,pati lauren,aida lópez,tamara mazarrasa",pitipol ybarra,"sheerly avni,fernanda eguiarte,shane frank,jimena gallardo,luis gamboa,jason george,epigmenio ibarra,anaí lópez,julian meiojas,natalia mejía,alfonso h. moreno,liam o'neil,rodrigo ordoñez,mariana palos,garett pereda,dove sussman,marcelo tobar,verónica velasco,lauri walker,natasha ybarra klor",57.29159627123605
zootopia,pg,60,True,97.0,80,zootopia,True,tvepisode,False,30,talk-show,7.8,6,1,5,shaurya chawla,unknown,unknown,15.178099162631442
zootopia,pg,60,True,97.0,80,zootopia,True,movie,False,108,"action,adventure,animation",8.0,583345,,,"ginnifer goodwin,jason bateman,jenny slate,nate torrence,bonnie hunt,don lake,tommy chong,byron howard,rich moore,jared bush,jim reardon,clark spencer,michael giacchino,jeremy milton,fabienne rawley,jamie sparer roberts,dan cooper,david goetz","byron howard,rich moore,jared bush","byron howard,rich moore,jared bush,jim reardon,josie trinidad,phil johnston,jennifer lee,kellie d. lewis",106.2122861702524
meet the blacks,r,100,True,79.0,80,meet the blacks,False,movie,False,94,"comedy,horror",4.8,38279,,,"alex henderson,bresha webb,lil duval,paul mooney,phil austin,andrew bachelor,deon taylor,nicole demasi,suzanne hines,patrick mcmahon,niko vilaivongs",deon taylor,"deon taylor,nicole demasi",50.652877658721074
meet the blacks,r,100,True,79.0,80,meet the blacks,False,tvepisode,False,42,talk-show,7.8,6,8,125,"wendy williams,debbie miller",debbie miller,unknown,15.178099162631442
finding dory,pg,60,True,98.0,80,finding dory,False,tvepisode,False,30,talk-show,7.8,6,1,5,doug walker,doug walker,doug walker,15.178099162631442
finding dory,pg,60,True,98.0,80,finding dory,False,movie,False,97,"adventure,animation,comedy",7.2,321224,,,"ed o'neill,kaitlin olson,hayden rolence,ty burrell,eugene levy,sloane murray,andrew stanton,victoria strouse","andrew stanton,angus maclane","andrew stanton,victoria strouse",91.29525905629211
sausage party,r,100,True,91.0,80,sausage party,False,tvepisode,False,30,"animation,comedy,horror",7.8,6,,,unknown,unknown,unknown,15.178099162631442
sausage party,r,100,True,91.0,80,sausage party,False,movie,False,89,"adventure,animation,comedy",6.1,220284,,,"seth rogen,jonah hill,alistair abell,sugar lyn beard,ian james corlett,michael daingerfield,brian dobson,greg tiernan,conrad vernon,kyle hunter,ariel shaffir,evan goldberg,christopher lennertz,kevin pavlovic,kyle mcqueen","greg tiernan,conrad vernon","kyle hunter,ariel shaffir,seth rogen,evan goldberg,jonah hill",75.0463323931664
pete's dragon,pg,60,True,93.0,80,pete's dragon,False,movie,False,102,"action,adventure,comedy",6.7,63183,,,"bryce dallas howard,oakes fegley,oona laurence,marcus henderson,aaron jackson,phil grieve,david lowery,toby halbrooks,malcolm marmorstein,seton i. miller,jim whitaker,jade healy",david lowery,"david lowery,toby halbrooks,malcolm marmorstein,seton i. miller,s.s. field",74.06050276962708
pete's dragon,pg,60,True,93.0,80,pete's dragon,False,tvepisode,False,30,"news,short",7.8,6,,,unknown,unknown,unknown,15.178099162631442
kevin hart: what now?,r,100,True,97.0,80,kevin hart: what now?,False,movie,False,96,"comedy,documentary",6.0,10143,,,"kevin hart,david meunier,joey wells,richardson cisneros-jones,magali amadei,leslie small,tim story,harry ratchford,brian buccellato,christopher lennertz","leslie small,tim story","kevin hart,joey wells,harry ratchford,brian buccellato",55.34782606006205
kevin hart: what now?,r,100,True,97.0,80,kevin hart: what now?,False,tvepisode,False,30,documentary,7.8,6,,,richard roeper,unknown,richard roeper,15.178099162631442
the discovery,tv-ma,110,True,,82,the discovery,False,short,False,4,"animation,short",7.8,6,,,"daniela deabreu,kate allsebrook,pavnoor bhullar",kate allsebrook,unknown,15.178099162631442
the discovery,tv-ma,110,True,,82,the discovery,False,movie,False,102,"drama,romance,sci-fi",6.2,38776,,,"brian mccarthy,m.j. karmi,charlie mcdowell,justin lader,jennifer lilly,anne mulhall",charlie mcdowell,"charlie mcdowell,justin lader",65.50661191131175
the discovery,tv-ma,110,True,,82,the discovery,False,tvepisode,False,30,"drama,thriller",7.8,6,1,99,"purab kohli,gauravv k. chawla,nikhil gonsalves,kaashvi nair,aniruddha guha,aseem arrora,nikkhil advani","gauravv k. chawla,nikhil gonsalves,kaashvi nair","gauravv k. chawla,aniruddha guha,aseem arrora,nikkhil advani,gideon raff",15.178099162631442
chewing gum,tv-ma,110,True,93.0,80,chewing gum,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
cheer squad,tv-pg,70,True,61.0,80,cheer squad,False,tvseries,False,60,reality-tv,7.2,180,,,ali moffatt,graeme lynch,unknown,37.42917862511395
only for one night,tv-ma,110,True,78.0,80,only for one night,False,movie,False,86,"crime,drama,romance",4.4,822,,,"angelique pereira,ross fleming,jarell houston jr.,hannah malone,chris stokes,j. christopher owen",chris stokes,unknown,29.537007282979108
the life aquatic with steve zissou,r,100,True,,82,the life aquatic with steve zissou,False,movie,False,119,"action,adventure,comedy",7.2,216884,,,"bill murray,noah taylor,bud cort,seu jorge,wes anderson,noah baumbach,david moritz,mark friedberg",wes anderson,"wes anderson,noah baumbach",88.46728227453843
the l word,tv-ma,110,True,,82,the l word,False,tvepisode,False,21,reality-tv,5.3,14,1,3,"gary shaffer,sean travis",gary shaffer,sean travis,14.352666065841714
30 rock,tv-14,90,True,66.0,80,30 rock,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
mad men,tv-14,90,True,75.0,80,mad men,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
it's always sunny in philadelphia,tv-ma,110,True,91.0,80,it's always sunny in philadelphia,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
