tconst	directors	writers
tt6183054	nm5119416	\N
tt6184866	nm4911300,nm1914188	nm0766272,nm7775374
tt6185176	\N	nm8116542
tt6185350	\N	nm0797520,nm4932106,nm3758935,nm8061001,nm2098823
tt6185714	nm8304644	nm1020404,nm0742427
tt6191944	\N	nm2423647
tt6192730	nm2105649	nm2105649
tt6196086	nm8544252	nm8544252
tt6197270	\N	\N
tt6204634	nm2446196	nm0867613
tt6213840	nm8557722,nm7502325,nm8455604,nm6387632	\N
tt6214628	nm3889718	nm3889718
tt6217332	nm7783734	nm7783734
tt6217884	\N	nm5267302,nm0224995,nm2826417,nm3958893,nm1753817
tt6220342	nm8562971	nm8562971
tt6220546	\N	\N
tt6222164	nm3449998	\N
tt6228372	nm3257286	\N
tt6234062	nm0225085,nm0712577	nm0074237
tt6238274	nm1436845	\N
tt6243968	nm8580207	nm4942591,nm8580207
tt6245938	nm0797520,nm4932106	nm0797520,nm4932106,nm3758935,nm8061001,nm2098823
tt6250246	nm8584975	\N
tt6254234	nm8587204	nm8587214
tt6255252	\N	nm4826458
tt6255268	nm4826458	nm4826458
tt6255278	nm4826458	nm4826458
tt6255322	nm4826458	nm4826458
tt6255342	nm4826458	nm4826458
tt6257238	\N	nm13660092
tt6260634	nm0002903	nm1746310
tt6260972	nm0341107	nm0341107
tt6262378	nm5844968	nm8594976
tt6262664	nm8506022	nm8595225
tt6262824	\N	nm8603827
tt6270578	nm7430731	nm7430731
tt6274786	nm8200774	nm8200774
tt6276188	nm2953047	nm4779624
tt6277058	nm8606752	nm8606752
tt6277692	nm4589390	nm4589390
tt6278426	\N	\N
tt6283780	nm0831321	nm0396867,nm0831321
tt6285562	\N	nm0797520,nm4932106,nm3758935,nm8061001
tt6286556	nm8614191	nm8614191
tt6289070	nm8615909,nm8615916	nm8615909,nm8615916
tt6290176	nm0453146	nm0453146,nm3280275,nm0969581,nm0387671
tt6292398	nm6020537	nm6020537
tt6293190	\N	nm3978436
tt6298068	nm2799113	nm2799113
tt6298436	\N	\N
tt6298650	nm4218778	nm4218778
tt6300104	nm3766090	nm3766090
tt6302160	nm1203781	nm1203781
tt6304622	nm5020056	nm5020056
tt6311826	nm3766090	nm3766090
tt6311834	nm7128086	nm7128086
tt6315232	nm0941276	nm0386694
tt6315758	nm7997276,nm10025830	nm8316961
tt6316100	nm1781666	nm1781666
tt6320754	nm6107879	nm6107879
tt6320878	nm6107879	nm6107879
tt6321320	nm4668106,nm4486904,nm6034524	\N
tt6322146	nm7311355	nm7311355
tt6322176	nm7311355	nm7311355
tt6322216	nm7311355	nm7311355
tt6322228	nm7311355	nm7311355
tt6324536	nm3766090	nm3766090
tt6327628	nm8640293	nm8640293
tt6330218	nm5454399	nm0462352,nm5454399
tt6332080	nm7502788	\N
tt6332604	nm3766090	nm3766090
tt6333098	nm1365879,nm2200708,nm1888091,nm0696236,nm4226933,nm2523054,nm1525553,nm3335696	nm5380892
tt6333104	nm4991098,nm4991143,nm0517777,nm3034421,nm0429069	nm16282664,nm4991098,nm4991143,nm0429069
tt6333380	nm2360790	nm11044490,nm2360790
tt6338324	nm8648080	\N
tt6338906	nm3929774	\N
tt6340868	nm8647163	\N
tt6341536	\N	nm0736411
tt6343148	\N	nm0736411
tt6343160	\N	nm0736411
tt6343174	\N	nm0736411
tt6344158	nm8240288	nm8240288
tt6345534	\N	\N
tt6345808	nm3766090	nm3766090
tt6348208	nm7702935	nm7702935
tt6349098	nm6568917,nm4857052	nm4857052,nm6568917,nm6568918,nm8656060
tt6349384	nm3766090	nm3766090
tt6349428	\N	nm0736411
tt6349462	\N	nm0736411
tt6350266	nm7303504	\N
tt6353064	nm6568917,nm4857052	nm4857052,nm6568917,nm6568918,nm8656060
tt6353130	nm6568917,nm4857052	nm4857052,nm6568917
tt6356304	nm3766090	nm3766090
tt6356458	nm8662283	\N
tt6358002	\N	\N
tt6359016	nm7311355	nm7311355
tt6359472	nm3766090	nm3766090
tt6361296	\N	nm5542223
tt6361472	\N	\N
tt6361554	nm1691104	\N
tt6361942	\N	nm7664413
tt6367556	nm3766090	nm3766090
tt6369758	nm0698807	nm0642946,nm0715087
tt6370486	nm4948755	nm4948755
tt6370844	nm3766090	nm3766090
tt6371964	nm1642741	nm1642741
tt6372182	nm7615364	nm7615364
tt6372524	nm0460172	nm2773084
tt6373190	nm7678794	\N
tt6375288	nm3715828	nm3715828
tt6385150	nm0276490	nm1393711,nm3322890
tt6387758	nm8649831	nm8649831
tt6388510	nm0913859	nm0881576,nm2368738
tt6388782	nm6799800	nm8684580,nm6799800
