tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes,parentTconst,seasonNumber,episodeNumber,principals_names_list,directors_names,writers_names
tt0460649,tvSeries,How I Met Your Mother,How I Met Your Mother,0,2005,2014,23,"Comedy,Drama,Romance","nm0296945,nm0338576,nm0790321,nm0000439","nm0063215,nm0858657,nm1422558,nm1827938,nm2734198,nm1968720,nm2287168,nm3096061,nm1918708,nm1752030,nm1260853,nm0364539,nm0516141,nm0722582,nm0851234,nm1597674,nm0539719,nm0612330,nm1479331,nm0342917,nm2657729,nm1127337,nm1961183,nm0426169,nm0520488,nm0545713,nm0588087,nm0628167,nm0271003,nm0881206,nm0376003,nm0750523,nm2342762,nm2361892,nm1929856",8.3,761496,,,,"Josh Radnor, Cobie Smulders, Neil Patrick Harris, Alyson Hannigan, Alyson Hannigan, Cristin Milioti, Cristin Milioti, Marshall Manesh, Joe Nieves, Carter Bays, Craig Thomas","Pamela Fryman, Rob Greenberg, Michael J. Shea, Neil Patrick Harris","Carter Bays, Craig Thomas, Matt Kuhn, Craig Gerard, Matthew Zinman, Robia Rashid, Dan Gregor, Doug Mand, Joe Kelly, Kourtney Kang, Gloria Calderón Kellett, Chris Harris, Stephen Lloyd, Jamie Rhonheimer, Chuck Tatham, Brenda Hsueh, Greg Malins, Theresa Mulligan, Maria Ferrari, Jonathan Groff, Jenni Hendriks, Tami Sagher, George Sloan, Sam Johnson, Phil Lord, Chris Marcil, Christopher Miller, Kristin Newman, Barbie Adler, Ira Ungerleider, David Hemingson, Tom Ruprecht, Eric Falconer, Chris Romano, Rachel Axler"
tt0460681,tvSeries,Supernatural,Supernatural,0,2005,2020,44,"Drama,Fantasy,Horror","nm0802033,nm0004223,nm0795288,nm0942869,nm0543129,nm0066596,nm0066218,nm0817620,nm0737517,nm0102434,nm0000824,nm0434320,nm0010075,nm0028542,nm2745490,nm0844358,nm0675894,nm0844896,nm0864936,nm0176702,nm0531453,nm0687238,nm0850102,nm0910822,nm0001645,nm0000536,nm0255028,nm0638354,nm0471392,nm0249421,nm0662971,nm2165614,nm0320987,nm0002413,nm0406220,nm0471862,nm0518910,nm0003447,nm0788610,nm0923571,nm0092853,nm0561879,nm0003080,nm0437246,nm0098400,nm0253531,nm0362738,nm0941276,nm0057106,nm0138706,nm0178944,nm0250267,nm0393661,nm0818237,nm0172557,nm0335337,nm1453537,nm1959563,nm1642908","nm0471392,nm1877263,nm2749064,nm1571148,nm0517418,nm3160583,nm3053945,nm1912955,nm0875979,nm0118747,nm0743935,nm2611372,nm1025918,nm3412809,nm0402095,nm0249421,nm1269404,nm0153338,nm1709372,nm3728867,nm4287835,nm1380122,nm0793062,nm0802033,nm3456533,nm0938861,nm0400957,nm0368818,nm0586922,nm0936976,nm0093186,nm3593780,nm2356210,nm5593068,nm2130852,nm1720117,nm0007029,nm0251395,nm0460567,nm1091301,nm0028982,nm1002812,nm2539485,nm0762381,nm0221762,nm0270177,nm0315384,nm0009921,nm3011071,nm3240303,nm0004223,nm0471172,nm2435019",8.4,514511,,,,"Jared Padalecki, Jared Padalecki, Jared Padalecki, Jensen Ackles, Jensen Ackles, Jensen Ackles, Jim Beaver, Jim Beaver, Jim Beaver, Misha Collins, Misha Collins, Misha Collins, Mark Sheppard, Mark Sheppard, Alexander Calvert, Alexander Calvert, Alexander Calvert, Mark Pellegrino, Mark Pellegrino, Samantha Smith, Samantha Smith, Ruth Connell, Ruth Connell, Rob Benedict, Rob Benedict, Rob Benedict, Eric Kripke, Sera Gamble","Robert Singer, Philip Sgriccia, John F. Showalter, Thomas J. Wright, Kim Manners, Charles Beeson, Guy Norman Bee, Richard Speight Jr., Mike Rohl, Steve Boyum, John Badham, Amyn Kaderali, Jensen Ackles, Tim Andrew, Nina Lopez-Corrado, Jeannot Szwarc, P.J. Pesce, Eduardo Sánchez, J. Miller Tobin, James L. Conway, John MacCarthy, Stefan Pleszczynski, Amanda Tapping, Jerry Wanek, Serge Ladouceur, Robert Duncan McNeill, Peter Ellis, David Nutter, Eric Kripke, Ben Edlund, Kevin Parks, Rashaad Ernesto Green, Ken Girotti, David Jackson, Tim Iacofano, Allan Kroeker, Chris Long, Whitney Ransick, Paul Shapiro, Tony Wharmby, Cliff Bole, Bradford May, Rachel Talalay, Adam Kane, Rick Bota, Jan Eliasberg, Rod Hardy, Jeff Woolnough, David Barrett, Charles Robert Carner, Nick Copus, Paul A. Edwards, Kevin Hooks, Rob Spera, Misha Collins, Darren Grant, John Fitzpatrick, Matt Cohen, Catriona McKenzie","Eric Kripke, Andrew Dabb, Robert Berens, Sera Gamble, Daniel Loflin, Jenny Klein, Davy Perez, Jeremy Carver, Raelle Tucker, Brad Buckner, Eugenie Ross-Leming, Robbie Thompson, Julie Siege, Steve Yockey, Cathryn Humphris, Ben Edlund, Brett Matthews, Eric C. Charmelo, Nicole Snyder, Meredith Glynn, Jeremy Adams, Adam Glass, John Shiban, Robert Singer, Nancy Baird, Nancy Won, Terri Hughes Burton, Richard Hatem, Ron Milbauer, Matt Witten, Lou Bollo, David Reed, John Bring, Meghan Fitzmartin, Bill Coakley, Rachel Nave, Trey Callaway, David Ehrman, Daniel Knauf, Patrick Sean Smith, Laurence Andries, Michael T. Moore, Emily McLaughlin, Trevor Sands, Rebecca Dessertine, Harvey Fedor, Eric 'Giz' Gewirtz, Ben Acker, Ben Blacker, Jackson Stewart, Philip Sgriccia, James Krieg, Nick Vaught"
tt0460791,movie,The Fall,The Fall,0,2006,\N,117,"Adventure,Drama,Fantasy",nm0802248,"nm0319659,nm0815864,nm0802248,nm0678199",7.8,123663,,,,"Lee Pace, Lee Pace, Catinca Untaru, Justine Waddell, Justine Waddell, Kim Uylenbroek, Kim Uylenbroek, Aiden Lithgow, Sean Gilder, Ronald France, Andrew Roussouw, Michael Huff, Tarsem Singh, Dan Gilroy, Nico Soultanakis, Tarsem Singh, Valeri Petrov, Tarsem Singh, Krishna Levy, Colin Watkinson, Ged Clarke",Tarsem Singh,"Dan Gilroy, Nico Soultanakis, Tarsem Singh, Valeri Petrov"
tt0462201,movie,Bloodline,Bloodline,0,2005,\N,98,Drama,nm1519133,"nm1939952,nm1519133",4.6,148,,,,"Alex Lecount, Chessika Cartwright, Ump, Suthun-Boy, Marcus Seymour, Robert Dante, Somara Mullings, Antwan Smith, JC Fentz Louis, Antwan Smith, JC Fentz Louis, Carlos Bastos, Ken Leader",Antwan Smith,"JC Fentz Louis, Antwan Smith"
tt0462259,movie,The Magicians,La doble vida del faquir,0,2005,\N,90,Documentary,"nm1943166,nm0722682","nm1943166,nm0722682",6.7,31,,,,"Joan Altamira, Xavier Bagué Bonfill, Jordi Bertran, María Teresa Pascual, Artur Pous, Lluís Ros, Carmina Sagués, Felip Sagués, Elisabet Cabeza, Elisabet Cabeza, Elisabet Cabeza, Esteve Riambau, Elisabet Cabeza, Esteve Riambau","Elisabet Cabeza, Esteve Riambau","Elisabet Cabeza, Esteve Riambau"
tt0462339,movie,Home,Home,0,2005,\N,85,Documentary,nm1823299,\N,7.9,33,,,,"Jeffrey M. Togman, Pierre Defendini, Jeffrey M. Togman, Pierre Defendini, Keith Hargreaves",Jeffrey M. Togman,
tt0462590,movie,Step Up,Step Up,0,2006,\N,104,"Crime,Drama,Music",nm0281945,"nm0012137,nm0742279",6.5,131010,,,,"Jenna Dewan, Damaine Radcliff, De'Shawn Washington, Mario, Drew Sidora, Rachel Griffiths, Josh Henderson, Tim Lacatena, Alyson Stoner, Anne Fletcher, Duane Adler, Melissa Rosenberg, Erik Feig, Adam Shankman, Patrick Wachsberger, Nancy Richardson, Rich Mento",Anne Fletcher,"Duane Adler, Melissa Rosenberg"
tt0465925,video,Brother Bear 2,Brother Bear 2,0,2006,\N,74,"Adventure,Animation,Comedy",nm0994310,"nm1757227,nm0994310",6.1,21809,,,,"Patrick Dempsey, Rick Moranis, Dave Thomas, Wendie Malick, Ben Gluck, Rich Burns, Ben Gluck, Jim Ballantine, Jamie Thomason, James Aaron Finch",Ben Gluck,"Rich Burns, Ben Gluck"
tt0465997,video,The Fox and the Hound 2,The Fox and the Hound 2,0,2006,\N,69,"Adventure,Animation,Comedy",nm0436851,"nm1757227,nm0543438,nm0776107",5.1,6441,,,,"Reba McEntire, Harrison Fahn, Jim Kammerud, Rich Burns, Roger S.H. Schulman, Ferrell Barron, Jamie Thomason, Bill Perkins",Jim Kammerud,"Rich Burns, Daniel P. Mannix, Roger S.H. Schulman"
tt0466220,short,Glee,Glee,0,2003,\N,4,"Comedy,Short",nm0537221,nm0537221,7.9,26,,,,"Antonios Papadogiannis, Lynne Valley, Ford Wright, Josselin Mahot, Josselin Mahot, Ralph Miccio",Josselin Mahot,Josselin Mahot
tt0466607,tvSeries,Heartland,Heartland,0,2001,\N,60,"News,Talk-Show",nm1717959,\N,,,,,,,Peter B. Snyder,
tt0469841,short,Supernatural,Supernatural,0,2004,\N,9,Short,nm1762730,nm1762730,6.4,17,,,,"Allegra Kolber, Allegra Kolber, Allegra Kolber, Allegra Kolber, Allegra Kolber",Allegra Kolber,Allegra Kolber
tt0470982,video,Air Buddies,Air Buddies,0,2006,\N,80,"Adventure,Comedy,Family",nm0898547,"nm0898547,nm0574516,nm2937125,nm0225235,nm0848496,nm0578850",4.7,4588,,,,"Cascy Beddow, Kelly Chapek, Jarvis Dashkewytch, Irene Karas Loeper, Robert Vince, Robert Vince, Anna McRoberts, Phil Hanley, Kevin DiCicco, Anna McRoberts, Robert Vince, Mike Southon",Robert Vince,"Robert Vince, Anna McRoberts, Phil Hanley, Kevin DiCicco, Paul Tamasy, Aaron Mendelsohn"
tt0471908,short,Scream,Scream,0,2004,\N,4,Short,nm1989827,nm1989827,,,,,,"Manuela Porta, Gabriel Otero, Gabriel Otero, Gabriel Otero, Gabriel Otero",Gabriel Otero,Gabriel Otero
tt0472954,tvSeries,It's Always Sunny in Philadelphia,It's Always Sunny in Philadelphia,0,2005,\N,22,Comedy,"nm0787687,nm0000625,nm5342427,nm0003733,nm0007193,nm0251848,nm4190073,nm0154079,nm0505842,nm0192478,nm3836955,nm0568390,nm0287198,nm0044803,nm0544741,nm1097351,nm2059798,nm2054480,nm0005205,nm1107594,nm4988577,nm1944254","nm0568390,nm1097351,nm0206359,nm0395196,nm3728034,nm1497310,nm2793398,nm1929717,nm2768206,nm2768137,nm4520090,nm10126202,nm3546514,nm2924503,nm1818242,nm1836241,nm0542658,nm3099089,nm2953647,nm0469414,nm3632835,nm3710142,nm4024470,nm6269810,nm4220077,nm3836955,nm0270718,nm1668855,nm4988577,nm1411956,nm2342762,nm2361892,nm1665958,nm2804127,nm1440633,nm0395195,nm1125275,nm1888967,nm1428343,nm4007352,nm2367949,nm4294196,nm2840659,nm6365898,nm5567556,nm1590309,nm1583642",8.8,267470,,,,"Charlie Day, Glenn Howerton, Glenn Howerton, Glenn Howerton, Rob McElhenney, Rob McElhenney, Kaitlin Olson, David Hornsby, David Hornsby, Artemis Pebdani, Sandy Martin, Sandy Martin, Rob McElhenney, Glenn Howerton","Matt Shakman, Fred Savage, Todd Biermann, Daniel Attias, Richie Keen, Randall Einhorn, Heath Cullens, Pete Chatmon, Jerry Levine, Kat Coiro, Megan Ganz, Rob McElhenney, John Fortenberry, Jamie Babbit, Maurice Marable, Glenn Howerton, Josh Drisko, LP, Kimberly McCullough, Tim Roche, Nina Pedrad, Imani Hakim","Rob McElhenney, Glenn Howerton, Charlie Day, David Hornsby, Dave Chernin, John Chernin, Scott Marder, Rob Rosell, Lee Sung Jin, Patrick Walsh, Andy Jones, Erin Ryan, Adam Weinstock, Katie McElhenney, Luvh Rakhe, Lisa Parsons, Becky Mann, Audra Sielaff, Conor Galvin, Lance Krall, Mehar Sethi, Matteo Borghese, Rob Turbovsky, Maxwell Theodore Vivian, Keyonna Taylor, Megan Ganz, Dannah Feinglass Phirman, Danielle Schneider, Nina Pedrad, Eric Ledgin, Eric Falconer, Chris Romano, Elijah Aron, Adam Stein, Jordan Young, Charlie Hornsby, David Benioff, D.B. Weiss, Hunter Covington, Jon Silberman, Josh Silberman, John Harris, Kristin Belka Maier, Davis Kop, Ross Maloney, Kristi Korzec, Chadd Gindin"
tt0473428,tvSeries,Scandal!,Scandal!,0,2005,\N,30,Drama,"nm1998257,nm0064011,nm2596771,nm1550118,nm1740618,nm0306872","nm1974030,nm2003367,nm0306872,nm2048314,nm2002777,nm13510144,nm0764522,nm7141603,nm1181226",6.5,23,,,,"Ayanda Daweti, Ayanda Nzimande, Andile Sithole, Dawn Matthews, Gcina Nkosi","Denny Y. Miller, Christopher Beasley, Sacha Stokes, Maynard Kraak, Joshua Rous, Craig Gardner","David Gordon, Anthony Akerman, Craig Gardner, Zaheer Goodman-Bhyat, Genna Lewis, Daryn Katz, Charlie Sapadin, Duduzile Zamantungwa Mabaso, Stephen Ronald Francis"
tt0475291,short,Heavyweights,Heavyweights,0,2005,\N,6,"Documentary,Short",nm1896007,nm1896007,7.0,26,,,,"Joe Pacheco, Joe Pacheco, Joe Pacheco, Joe Pacheco, Joe Pacheco",Joe Pacheco,Joe Pacheco
tt0475293,tvMovie,High School Musical,High School Musical,0,2006,\N,98,"Comedy,Drama,Family",nm0650905,nm0058302,5.6,101565,,,,"Ashley Tisdale, Lucas Grabeel, Corbin Bleu, Monique Coleman, Bart Johnson, Alyson Reed, Olesya Rulin, Kenny Ortega, Peter Barsocchini, Gordon Lonsdale, Natalie Hart, Jeff Johnson",Kenny Ortega,Peter Barsocchini
tt0475708,videoGame,The Real Ghostbusters,Meikyuu Hunter G,0,1987,\N,\N,"Action,Fantasy,Sci-Fi",\N,\N,5.2,61,,,,,,
tt0476363,short,Revenge!,Revenge!,0,1904,\N,4,"Drama,Short",nm0172118,\N,5.0,37,,,,Alf Collins,Alf Collins,
tt0479500,movie,Nancy Drew,Nancy Drew,0,2007,\N,99,"Comedy,Crime,Family",nm0281598,"nm0281598,nm0667330,nm0444696",5.9,22074,,,,"Tate Donovan, Max Thieriot, Craig Gellis, Rich Cooper, Amy Bruckner, Kay Panabaker, Andrew Fleming, Andrew Fleming, Tiffany Paulsen, Mildred Wirt Benson, Ralph Sall",Andrew Fleming,"Andrew Fleming, Tiffany Paulsen, Mildred Wirt Benson"
tt0480511,short,Blow,Blow,0,2005,\N,5,Short,nm2037189,"nm2039981,nm2037189",6.9,18,,,,"Llewelyn Roderick, Portia Gumede, Llewelyn Roderick, Melony Curtis, Llewelyn Roderick, Amy Difford",Llewelyn Roderick,"Portia Gumede, Llewelyn Roderick"
tt0481018,short,Home,Home,0,2005,\N,7,"Drama,Short",nm1221634,nm1221634,8.7,39,,,,"Christopher Mario Parker, Hal Perry, Justin Rhodes, Justin Rhodes, Justin Rhodes",Justin Rhodes,Justin Rhodes
tt0481226,videoGame,Scooby-Doo,Scooby-Doo,0,1986,\N,\N,"Adventure,Mystery",\N,"nm0053484,nm0360253",8.0,57,,,,"Joseph Barbera, William Hanna",,"Joseph Barbera, William Hanna"
tt0481264,short,Anastasia,Anastasia,0,2004,\N,12,"Fantasy,Short",nm0032157,nm0032157,7.5,12,,,,"Dimitris Apostolou, Dimitris Apostolou, Dimitris Apostolou, Fotis Mylonas",Dimitris Apostolou,Dimitris Apostolou
tt0482567,movie,Twilight,Polumgla,0,2006,\N,100,"Drama,War",nm2053648,"nm0092929,nm2049784",6.5,270,,,,"Sergey Gryaznov, Anastasiya Shevelyova, Martin Jackowski, Artem Antonov, Igor Bolgarin, Viktor Smirnov, Andrey Antonenko, Artem Antonov, Mariya Bernardelli",Artem Antonov,"Igor Bolgarin, Viktor Smirnov"
tt0484477,short,Bloodline,Bloodline,0,2004,\N,20,"Horror,Short,Thriller",\N,\N,,,,,,"Chris Austin, Daniel Austin, Nathan Byrne, Matthew King, Chris Austin",,
tt0484845,movie,Hawaii Five-0,Hawaii Five-0,0,\N,\N,\N,Action,\N,nm0345615,,,,,,Christian Gudegast,,Christian Gudegast
tt0485074,short,3,3,0,2005,\N,22,Short,nm2085885,nm2079427,,,,,,"Dimitris Andjus, Mikael Svanstrom, Dimitris Andjus, Fotis Karatasakis",Dimitris Andjus,Mikael Svanstrom
tt0485299,tvSeries,Lost,Lost,0,2001,\N,90,"Adventure,Game-Show,Reality-TV","nm2439539,nm10501206,nm0579584,nm1564798,nm2076966,nm2076855,nm1857130,nm1497972,nm1434091,nm1245204,nm1573662,nm1387432",nm10501205,8.0,95,,,,Mat Fraser,"Will Daws, Iain MacDonald, Luke Menges, Iain B. MacDonald, Ben Anthony, William Dawes, Dimitri Doganis, Simon Egan, Tim Knight, Misha Manson-Smith, Finn McGough, Barney Snow",David Dugan
tt0486411,movie,Leverage,Leverage,0,2005,\N,45,Drama,nm2083334,nm2083334,8.1,37,,,,"Mark Emerson, Craig Engleman, Brad Fleischer, John Nutten, Eric Robinson, Wes Terray, Wes Terray, Wes Terray, Joe Knox, Wes Terray, Wes Terray",Wes Terray,Wes Terray
tt0486728,movie,The Three Musketeers,De tre musketerer,0,2005,\N,70,Animation,nm1350006,"nm0241416,nm0701255",6.1,107,,,,"Nicolaj Kopernikus, Janis Cimmermanis, Alexandre Dumas, Maris Putnins, Maris Putnins, Janis Cimmermanis",Janis Cimmermanis,"Alexandre Dumas, Maris Putnins"
tt0487082,short,Come Fly with Me,Come Fly with Me,0,2005,\N,1,"Animation,Short",nm0665018,\N,,,,,,Kamma Pastoll,Kamma Pastoll,
tt0487849,tvSeries,Pocoyo,Pocoyo,0,2005,\N,7,"Animation,Comedy,Family","nm2254108,nm0305229,nm4155125,nm9398588,nm2868551,nm6333549","nm0947602,nm2254108,nm3376945,nm0305229,nm1250331,nm0305844,nm2798165,nm0833100,nm1263645,nm8316968,nm2777451,nm0798670,nm2260826,nm0769095,nm2316055,nm0149370,nm1836368,nm2705536,nm6428794,nm2534839,nm4069822,nm1014178,nm0454312,nm2055644,nm0266423,nm4425292,nm1385461,nm1482639,nm5167607,nm0221133,nm3321765,nm2811385,nm4155125",7.1,2501,,,,"Alex Marty, Montana Smedley, Gigi Hart, Grace Foy, Isabella Foy, Claudia Sánchez, Alicia Mahady, Andy Yerkes, Guillermo Garcia","David Cantolla, Guillermo Garcia, Alfonso Rodriguez, Paulo Mosca, Carlos Perez, Alex Hidalgo","Andy Yerkes, David Cantolla, Luis Gallego, Guillermo Garcia, Dan Wicksman, Nuria Wicksman, Carlos Bleycher, P. Kevin Strader, Susan Kim, Rubén García Díaz, Pippin Parker, Claudia Silver, Joe Vitale, Ken Scarborough, Jorge Riera, Rebecca Chace, Dave Ingham, Leyre Medrano, Javier Chavanel, Raye Lankford, Michele Cavin, Annie Evans, Jeffrey Kindley, James Ponti, Joe Fallon, Tatiana Chisleanschi, Chris Hoey, Lucinda Whiteley, Maria Jimenez, Mike de Seve, Michael Patrick Dobkins, Aron Dunn, Alfonso Rodriguez"
tt0488967,movie,Bloodline,Bloodline,0,2004,\N,96,Horror,"nm0183460,nm0770083","nm0183460,nm0770083",3.9,194,,,,"Clay Adams, Josh Gibson, Bryan Smithson, Jay Anthony, Jay Anthony, Kenny Messer, David Matthiessen, David Schrader, Keith Coulouris, David Schrader, Keith Coulouris, David Schrader, Keith Coulouris, Keith Prokop, Keith Coulouris, Paul Macherey","Keith Coulouris, David Schrader","Keith Coulouris, David Schrader"
tt0489569,movie,Touch,Tatchi,0,2005,\N,116,"Drama,Romance,Sport",nm0409459,"nm1104534,nm2102445",6.4,772,,,,"Shinsuke Hiratsuka, Isshin Inudô, Mitsuru Adachi, Yukiko Yamamuro, Suguru Matsutani",Isshin Inudô,"Mitsuru Adachi, Yukiko Yamamuro"
tt0491553,short,Home,Home,0,2005,\N,11,"Drama,Short",nm1458033,nm1458033,6.2,7,,,,"Giles Borg, Giles Borg, Simon Kearney, Tim Oliver",Giles Borg,Giles Borg
tt0491603,tvSeries,H2O: Just Add Water,H2O: Just Add Water,0,2006,2010,23,"Adventure,Comedy,Drama","nm0907835,nm0118959","nm0793291,nm1475934,nm1383479,nm0197960,nm1116827,nm1038803,nm0200350,nm1835126,nm0025720,nm0730067,nm1031026,nm2562040,nm0184989,nm0035768,nm3134723,nm0279631,nm1881401,nm1787259",7.3,20108,,,,"Cariba Heine, Angus McLaren, Burgess Abernethy, Claire Holt, Cleo Massey, Jamie Timony, Ariu Lang Sio, Indiana Evans, Jonathan M. Shiff","Jeffrey Walker, Colin Budds","Jonathan M. Shiff, Nova Weetman, Jo Watson, Philip Dalkin, Anthony Morris, Sam Carroll, Max Dann, Simon Butters, Chris Anastassiades, Chris Roache, Susan MacGillicuddy, Joss King, Deb Cox, John Armstrong, Caroline O'Meara, Kirsty Fisher, Robert Armin, Samantha Strauss"
tt0492195,short,Love,Love,0,1924,\N,\N,"Comedy,Short",nm0921941,\N,,,,,,"Billy West, Billy West",Billy West,
tt0496424,tvSeries,30 Rock,30 Rock,0,2006,2013,22,Comedy,"nm0769135,nm0565063,nm0726642,nm0257554,nm0541562,nm0002835,nm0926526,nm0962378,nm0205502,nm0255081,nm0000114,nm0110644,nm0390844,nm0791381,nm0184873,nm0579318,nm0002728,nm0082450,nm0330140,nm0791672,nm0838198,nm0538744,nm1061622,nm0792178,nm0806252","nm0275486,nm0134224,nm1127337,nm1061622,nm2255973,nm0120994,nm1863572,nm0918272,nm2236770,nm0726642,nm1010032,nm0796875,nm2133058,nm1014574,nm1472469,nm0046329,nm0277880,nm0689390,nm3066398,nm0996134,nm2337847,nm4988577,nm1269432,nm2253976,nm2314834,nm1259707,nm2868110,nm4137632,nm3265847",8.3,135555,,,,"Tina Fey, Tina Fey, Tina Fey, Tracy Morgan, Tracy Morgan, Tracy Morgan, Jack McBrayer, Jack McBrayer, Jack McBrayer, Jane Krakowski, Jane Krakowski, Scott Adsit, Scott Adsit, Judah Friedlander, Judah Friedlander, Keith Powell, Keith Powell, Katrina Bowden, Katrina Bowden, Kevin Dotcom Brown, Tina Fey","Don Scardino, Beth McCarthy-Miller, John Riggi, Michael Engler, Gail Mancuso, Adam Bernstein, Ken Whittingham, Jeff Richmond, Stephen Lee Davis, Scott Ellis, Steve Buscemi, Tricia Brock, Todd Holland, Millicent Shelton, Claire Cowperthwaite, Linda Mendoza, Juan José Campanella, Paul Feig, Dennie Gordon, Richard Shepard, Kevin Rodney Sullivan, Constantine Makris, Robert Carlock, Jamie Sheridan, Michael Slovis","Tina Fey, Kay Cannon, Tami Sagher, Robert Carlock, Donald Glover, Jack Burditt, Matt Hubbard, Ron Weiner, Tracey Wigfield, John Riggi, Dylan Morgan, Josh Siegal, Vali Chandrasekaran, Tom Ceraulo, Luke Del Tredici, Brett Baer, Dave Finkel, Jon Pollack, Jon Haller, Paula Pell, Sam Means, Nina Pedrad, Colleen McGuinness, Daisy Gardner, Andrew Guest, Steve Hely, Hannibal Buress, Lauren Gurganous, Lang Fisher"
tt0497349,videoGame,Curious George,Curious George,0,2006,\N,\N,Adventure,\N,nm2192642,6.3,47,,,,"Leigh-Allyn Baker, Dee Bradley Baker, Dee Bradley Baker, Dee Bradley Baker, Dave Ellis",,Dave Ellis
tt0498351,movie,The Hero of Color City,The Hero of Color City,0,2014,\N,77,"Adventure,Animation,Family",nm2803372,"nm3122505,nm2125194,nm0669426,nm2153875",3.9,791,,,,"Rosie Perez, Wayne Brady, Tom Lowell, Jess Harnell, Frank Gladstone, Frank Gladstone, Robin Howard, Robin Howard, Robin Howard, Frank Gladstone, Jess Kedward, J.P. McCormick, Kirsty Peart, Rich Raczelowski, Angel Roché Jr., Philip A. Cruden",Frank Gladstone,"Jess Kedward, J.P. McCormick, Kirsty Peart, Rich Raczelowski"
tt0498407,tvEpisode,Private Practice,Private Practice,0,1973,\N,\N,"Comedy,Drama,Horror",nm0339543,nm2156193,,,tt0165592,4,6,"Peter Cregeen, Peter Hankin",Peter Cregeen,Peter Hankin
tt0498551,short,Once Upon a Time,Once Upon a Time,0,1941,\N,5,"Comedy,Short",nm0791788,\N,,,,,,"Horace Shepherd, Horace Shepherd",Horace Shepherd,
tt0499170,tvSeries,Revenge,Buhwal,0,2005,2005,70,"Crime,Drama,Mystery",nm2139688,\N,8.3,101,,,,Ko Joo-won,Chang Geun Jun,
tt0500924,tvEpisode,Revenge,Revenge,0,1996,\N,\N,Comedy,nm0125753,nm0623273,,,tt0108681,2,3,"Ed Bye, Doug Naylor, Ed Bye",Ed Bye,Doug Naylor
tt0503633,tvEpisode,Home,Home,0,2001,\N,44,"Comedy,Drama,Family",nm0481775,"nm0358950,nm1121467",6.8,76,tt0115083,5,11,"Barry Watson, Harvey S. Laidman, Brenda Hampton, Jeff Olsen, Burt Brinckerhoff",Harvey S. Laidman,"Brenda Hampton, Jeff Olsen"
tt0503671,tvEpisode,Lost,Lost,0,2001,\N,45,"Comedy,Drama,Family",nm0109455,"nm0358950,nm1121466,nm1121467",6.5,81,tt0115083,6,9,"Barry Watson, Burt Brinckerhoff, Brenda Hampton, Chris Olsen, Jeff Olsen, Burt Brinckerhoff, Chris Olsen, Jeff Olsen",Burt Brinckerhoff,"Brenda Hampton, Chris Olsen, Jeff Olsen"
tt0504198,tvEpisode,Skins,Skins,0,1985,\N,49,"Action,Adventure,Crime",nm0232702,"nm0526967,nm0004798,nm0428751",6.7,301,tt0084967,3,17,"Dennis Donnelly, Frank Lupo, Stephen J. Cannell, Mark Jones, Mike Post",Dennis Donnelly,"Frank Lupo, Stephen J. Cannell, Mark Jones"
tt0504395,tvEpisode,Come Fly with Me,Come Fly with Me,0,1987,\N,21,"Comedy,Family,Sci-Fi",nm0049975,"nm0665305,nm0299319,nm0182598",7.5,358,tt0090390,1,26,"Paul Fusco, Paul Fusco, Peter Baldwin, Tom Patchett, Paul Fusco, Nelson Costello, Paul Fusco",Peter Baldwin,"Tom Patchett, Paul Fusco, Nelson Costello"
tt0505934,tvEpisode,The Brothers,The Brothers,0,1958,\N,30,"Adventure,Drama,Western",nm0727999,"nm0057233,nm0280108",6.1,15,tt0048840,2,31,"Arthur Ripley, Monte Barrett, Margaret Fitts",Arthur Ripley,"Monte Barrett, Margaret Fitts"
tt0506361,tvEpisode,The Brothers,The Brothers,0,1956,\N,25,"Action,Adventure,Family",nm0461497,"nm0402848,nm0488057",7.1,64,tt0047706,1,17,"Bernard Knowles, Ian McLellan Hunter, Ring Lardner Jr., Edwin Astley, Harry Booth",Bernard Knowles,"Ian McLellan Hunter, Ring Lardner Jr."
tt0506793,tvEpisode,Lost,Lost,0,1958,\N,\N,Crime,nm0106423,\N,,,tt0157213,1,4,"George P. Breakston, George P. Breakston",George P. Breakston,
tt0506833,tvEpisode,Grease,Grease,0,2002,\N,\N,Documentary,\N,\N,7.9,10,tt0270109,3,13,"Jeff Conaway, Didi Conn, Jamie Donnelly, Olivia Newton-John, Barry Pearl, John Travolta, Michael Tucci, Kelly Ward",,
tt0506838,tvEpisode,The Brothers,The Brothers,0,2002,\N,\N,Documentary,nm2088902,\N,,,tt0270109,3,9,"Margaret Ashcroft, Robin Chadwick, Julia Goodman, Jason Beresford",Jason Beresford,
tt0508235,tvEpisode,Revenge,Revenge,0,1955,\N,26,"Crime,Drama,Mystery",nm0000033,"nm0168356,nm0087642",7.3,2615,tt0047708,1,1,"Alfred Hitchcock, Alfred Hitchcock, Francis M. Cockrell, Samuel Blas, Alfred Hitchcock",Alfred Hitchcock,"Francis M. Cockrell, Samuel Blas"
tt0508359,tvEpisode,Touché,Touché,0,1959,\N,30,"Crime,Drama,Mystery",nm0103975,"nm0269623,nm0910482",7.0,539,tt0047708,4,35,"Alfred Hitchcock, Robert Morse, John Brahm, William Jerome Fay, Bryce Walton",John Brahm,"William Jerome Fay, Bryce Walton"
